iter	Logloss
0	0.660011842
1	0.6325797728
2	0.6102943012
3	0.5894148149
4	0.5738604887
5	0.5574126876
6	0.5410121236
7	0.5298455747
8	0.5181083413
9	0.5069678024
10	0.4971526934
11	0.4876047785
12	0.4786331547
13	0.4700390098
14	0.4628122859
15	0.4572006817
16	0.4522554185
17	0.4482410204
18	0.4434947738
19	0.4390065004
20	0.4340500356
21	0.4300709102
22	0.4287069528
23	0.4273959834
24	0.4244604706
25	0.420088204
26	0.4169581995
27	0.4151325902
28	0.4126839595
29	0.4114505187
30	0.4078998892
31	0.4051135713
32	0.4022838465
33	0.4016040247
34	0.4000103131
35	0.3994104564
36	0.3966142304
37	0.3948948933
38	0.3936679913
39	0.3917936344
40	0.3895705034
41	0.3888385507
42	0.3878628859
43	0.3858467299
44	0.3846451704
45	0.3837170178
46	0.3825551453
47	0.3802584371
48	0.3781579428
49	0.3762069294
50	0.3751707339
51	0.3732729929
