iter	Passed	Remaining
0	74	74491
1	153	76570
2	183	60852
3	243	60682
4	275	54760
5	339	56231
6	415	58992
7	447	55447
8	489	53908
9	542	53734
10	598	53842
11	641	52816
12	685	52020
13	756	53250
14	804	52847
15	874	53790
16	913	52805
17	948	51734
18	1015	52432
19	1095	53655
20	1165	54351
21	1238	55065
22	1262	53621
23	1279	52037
24	1316	51339
25	1392	52155
26	1477	53261
27	1526	52980
28	1598	53529
29	1624	52518
30	1699	53110
31	1779	53820
32	1852	54278
33	1869	53125
34	1944	53618
35	1964	52611
36	2042	53158
37	2113	53493
38	2143	52821
39	2227	53470
40	2307	53978
41	2339	53353
42	2358	52489
43	2437	52967
44	2512	53330
45	2590	53719
46	2675	54250
47	2746	54479
48	2820	54735
49	2890	54926
50	2960	55095
51	3046	55531
